Bicentennial Capitol Mall State Park	Davidson	
Big Cypress Tree State Park	Weakley		
Big Hill Pond State Park	McNairy		
Big Ridge State Park	Union	
Bledsoe Creek State Park	Sumner		
Booker T. Washington State Park	Hamilton	
Burgess Falls State Park	Putnam	
Cedars of Lebanon State Park	Wilson		
Chickasaw State Park	Chester	
Cordell Hull Birthplace State Park	Pickett	
Cove Lake State Park	Campbell	
Cumberland Mountain State Park	Cumberland	
Cummins Falls State Park	Jackson	
David Crockett State Park	Lawrence	
David Crockett Birthplace State Park	Greene	
Dunbar Cave State Park	Montgomery		
Edgar Evins State Park	DeKalb		
Fall Creek Falls State Park	Van Buren, Bledsoe	
Fort Loudoun State Park	Monroe		
Fort Pillow State Park	Lauderdale	
Frozen Head State Park	Morgan		
Harpeth River State Park	Cheatham, Davidson			
Henry Horton State Park	Marshall	
Harrison Bay State Park	Hamilton		
Hiwassee/Ocoee Scenic River State Park	Polk			
Indian Mountain State Park	Campbell	
Johnsonville State Historic Park	New Johnsonville, Tennessee	
Justin P. Wilson Cumberland Trail State Park	Caryville		
Long Hunter State Park	Davidson			
Meeman-Shelby Forest State Park	Shelby		
Montgomery Bell State Park	Dickson	
Mousetail Landing State Park	Perry	
Nathan Bedford Forrest State Park	Benton	
Natchez Trace State Park	Henderson		
Norris Dam State Park	Anderson, Campbell	
Old Stone Fort State Archaeological Park	Coffee			
Panther Creek State Park	Hamblen	
Paris Landing State Park	Henry	
Pickett CCC Memorial State Park	Pickett	
Pickwick Landing State Park	Hardin	
Pinson Mounds State Archaeological Park	Madison	
Port Royal State Park	Montgomery, Robertson		
Radnor Lake State Natural Area	Davidson
Red Clay State Park	Bradley	
Reelfoot Lake State Park	Lake, Obion			
Roan Mountain State Park	Carter		
Rock Island State Park	Warren, White	
Rocky Fork State Park	Unicoi	2,036	
Seven Islands State Birding Park	Knox	
Sgt. Alvin C. York State Historic Park	Fentress			
South Cumberland State Park	Franklin, Marion, Grundy, Sequatchie	
Standing Stone State Park	Overton	
Sycamore Shoals State Historic Area	Carter	
Tims Ford State Park	Franklin	
T. O. Fuller State Park	Shelby		
Warriors' Path State Park	Sullivan	
Window Cliffs State Natural Area	Putnam	